underlying_symbol,date,dominant_id,open,close,high,low,total_turnover,volume,prev_close,settlement,prev_settlement,open_interest,limit_up,limit_down,day_session_open
AL,2010-04-29,AL1007,13457.401397862968,13440.735885295955,13536.56258255628,13419.903994587188,0,68562.0,13399.072103878423,13474.066910429981,13349.075566177384,126300.0,13749.047867785695,12944.93688642732,16150.0
AL,2010-04-30,AL1007,13540.728960698032,13507.397935564008,13553.228095123293,13428.236750870696,0,51520.0,13440.735885295955,13474.066910429981,13474.066910429981,118176.0,13878.205590180045,13065.761852538164,16250.0
AL,2010-05-04,AL1007,13474.066910429981,13403.238482020175,13474.066910429981,13340.742809893876,0,38856.0,13507.397935564008,13394.90572573667,13474.066910429981,116046.0,13878.205590180045,13065.761852538164,16170.0
AL,2010-05-05,AL1007,13203.252331216021,13257.415247058812,13265.748003342318,13124.09114652271,0,39296.0,13403.238482020175,13224.084221924786,13394.90572573667,113254.0,13794.878027344981,12990.767045986606,15845.0
AL,2010-05-06,AL1007,13249.082490775307,13165.754927940241,13336.576431752124,13149.089415373228,0,41636.0,13257.415247058812,13228.25060006654,13224.084221924786,106866.0,13619.890145391344,12824.111920316474,15900.0
AL,2010-05-07,AL1007,13082.427365105175,12894.94034872628,13165.754927940241,12861.609323592254,0,48990.0,13165.754927940241,12974.101533419593,13228.25060006654,100072.0,13624.056523533098,12828.278298458228,15700.0
AL,2010-05-10,AL1007,13061.59547439641,13099.092877672188,13103.259255813942,12965.768777136085,0,23574.0,12894.94034872628,13036.597205545891,12974.101533419593,96318.0,13361.574700602643,12582.461988094787,15675.0
AL,2010-05-11,AL1007,13115.758390239202,13057.429096254657,13132.423902806215,13028.264449262384,0,25012.0,13099.092877672188,13069.928230679916,13036.597205545891,91602.0,13424.070372728942,12644.957660221085,15740.0
AL,2010-05-12,AL1007,13036.597205545891,12999.099802270111,13099.092877672188,12982.434289703098,0,11938.0,13057.429096254657,13032.430827404138,13069.928230679916,89496.0,13461.567776004722,12674.122307213358,15645.0
AL,2010-05-13,AL1007,13061.59547439641,13074.09460882167,13078.260986963423,13032.430827404138,0,10246.0,12999.099802270111,13053.262718112903,13032.430827404138,88830.0,13419.903994587188,12640.791282079334,15675.0
AL,2010-05-14,AL1007,13065.761852538164,13040.763583687643,13103.259255813942,13019.931692978878,0,13934.0,13074.09460882167,13061.59547439641,13053.262718112903,86424.0,13440.735885295955,12661.623172788099,15680.0
AL,2010-05-17,AL1007,12932.437752002059,12490.801668976215,12957.43602085258,12411.640484282905,0,22658.0,13040.763583687643,12640.791282079334,13061.59547439641,80720.0,13453.235019721214,12411.640484282905,15520.0
AL,2010-05-18,AL1008,12486.686083582814,12531.957522910241,12560.766620664057,12264.444472339086,0,174640.0,12490.801668976217,12416.721131894974,12577.228962237667,86004.0,12951.747233037284,12198.595106044648,15170.0
AL,2010-05-19,AL1008,12387.912034141158,12478.454912796009,12548.41986448385,12157.439252110624,0,149688.0,12531.957522910241,12433.183473468584,12416.721131894974,86158.0,12787.123817301188,12042.202861095357,15050.0
AL,2010-05-20,AL1008,12499.032839763022,12507.264010549827,12577.228962237667,12433.183473468584,0,74656.0,12478.454912796009,12523.726352123436,12433.183473468584,87646.0,12803.586158874798,12058.665202668966,15185.0
AL,2010-05-21,AL1008,12408.48996110817,12429.06788807518,12478.454912796009,12297.369155486305,0,76382.0,12507.264010549827,12400.258790321364,12523.726352123436,87354.0,12898.244622923052,12145.092495930417,15075.0
AL,2010-05-24,AL1008,12564.88220605746,12606.038059991482,12630.731572351897,12494.917254369619,0,78112.0,12429.06788807518,12564.88220605746,12400.258790321364,91602.0,12770.661475727578,12025.740519521749,15265.0
AL,2010-05-25,AL1008,12515.495181336632,12490.801668976217,12593.691303811276,12474.339327402608,0,57806.0,12606.038059991482,12536.073108303643,12564.88220605746,88770.0,12939.400476857076,12186.248349864441,15205.0
AL,2010-05-26,AL1008,12552.535449877252,12548.41986448385,12589.575718417875,12482.570498189412,0,50476.0,12490.801668976217,12531.957522910241,12536.073108303643,87894.0,12910.59137910326,12157.439252110624,15250.0
AL,2010-05-27,AL1008,12499.032839763022,12560.766620664057,12564.88220605746,12457.876985828998,0,47934.0,12548.41986448385,12515.495181336632,12531.957522910241,89202.0,12906.475793709857,12153.323666717222,15185.0
AL,2010-05-28,AL1008,12614.269230778287,12655.425084712311,12741.852377973762,12593.691303811276,0,66112.0,12560.766620664057,12676.003011679324,12515.495181336632,89490.0,12890.013452136247,12136.861325143613,15325.0
AL,2010-05-31,AL1008,12593.691303811276,12585.460133024471,12655.425084712311,12556.651035270655,0,46398.0,12655.425084712311,12597.806889204678,12676.003011679324,89018.0,13054.636867872343,12293.253570092902,15300.0
AL,2010-06-01,AL1008,12577.228962237667,12474.339327402608,12601.922474598081,12470.223742009204,0,23740.0,12585.460133024471,12548.41986448385,12597.806889204678,89230.0,12972.325160004295,12219.17303301166,15280.0
AL,2010-06-02,AL1008,12441.414644255388,12293.253570092902,12490.801668976217,12124.514568963405,0,40390.0,12474.339327402608,12297.369155486305,12548.41986448385,86472.0,12922.938135283466,12124.514568963405,15115.0
AL,2010-06-03,AL1008,12350.871765600536,12309.715911666512,12424.952302681779,12227.404203798464,0,31264.0,12293.253570092902,12301.484740879707,12297.369155486305,85644.0,12663.656255499116,11926.966470080091,15005.0
AL,2010-06-04,AL1008,12223.288618405062,12140.976910537014,12247.982130765477,12033.971690308554,0,30888.0,12309.715911666512,12132.74573975021,12301.484740879707,83682.0,12667.77184089252,11931.082055473493,14850.0
AL,2010-06-07,AL1008,11548.332613887073,11523.639101526658,11614.18198018151,11523.639101526658,0,16252.0,12140.976910537014,11548.332613887073,12132.74573975021,81000.0,12494.917254369619,11523.639101526658,14030.0
AL,2010-06-08,AL1009,11515.454698755686,11707.788163873496,11728.249170800922,11474.532684900832,0,105518.0,11523.639101526656,11593.206525079908,11560.468913996025,80090.0,11904.213830376792,11212.631796229773,14070.0
AL,2010-06-09,AL1009,11744.617976342864,12047.440878868778,12047.440878868778,11642.312941705732,0,116160.0,11707.788163873496,11797.816594354174,11593.206525079908,85332.0,12047.440878868778,11642.312941705732,14350.0
AL,2010-06-10,AL1009,11965.59685115907,11879.660622063879,12031.072073326835,11842.830809594512,0,116422.0,12047.440878868778,11924.674837304217,11797.816594354174,83000.0,12149.74591350591,11441.795073816951,14620.0
AL,2010-06-11,AL1009,11973.781253930041,12018.79546917038,12026.97987194135,11945.135844231645,0,66022.0,11879.660622063879,11981.965656701012,11924.674837304217,80882.0,12280.69635784144,11564.56111538151,14630.0
AL,2010-06-17,AL1009,12162.022517662366,11932.859240075188,12170.206920433337,11924.674837304217,0,46288.0,12018.79546917038,12018.79546917038,11981.965656701012,82432.0,12337.987177238236,11621.851934778304,14860.0
AL,2010-06-18,AL1009,11932.859240075188,11896.029427605821,11969.689052544556,11859.199615136453,0,69670.0,11932.859240075188,11908.306031762277,12018.79546917038,81996.0,12378.909191093087,11654.589545862187,14580.0
AL,2010-06-21,AL1009,11986.057858086499,12280.69635784144,12448.476614646339,11965.59685115907,0,197572.0,11896.029427605821,12247.958746757558,11908.306031762277,99966.0,12448.476614646339,11965.59685115907,14645.0
AL,2010-06-22,AL1009,12112.916101036542,12092.455094109117,12186.575725975279,12039.256476097808,0,119832.0,12280.69635784144,12121.100503807513,12247.958746757558,95356.0,12612.164670065751,11879.660622063879,14800.0
AL,2010-06-23,AL1009,12039.256476097808,12129.284906578483,12235.682142601103,12006.518865013924,0,112852.0,12092.455094109117,12104.731698265572,12121.100503807513,90920.0,12481.21422573022,11756.89458049932,14710.0
AL,2010-06-24,AL1009,12145.653712120426,12182.483524589792,12256.143149528529,12125.192705192998,0,89258.0,12129.284906578483,12198.852330131735,12104.731698265572,91594.0,12464.84542018828,11740.52577495738,14840.0
AL,2010-06-25,AL1009,12186.575725975279,12137.469309349455,12252.050948143044,12104.731698265572,0,65956.0,12182.483524589792,12166.114719047851,12198.852330131735,89340.0,12563.058253439927,11830.554205438055,14890.0
AL,2010-06-28,AL1009,12194.76012874625,12207.036732902705,12309.341767539838,12182.483524589792,0,62092.0,12137.469309349455,12235.682142601103,12166.114719047851,89606.0,12530.320642356044,11797.816594354174,14900.0
AL,2010-06-29,AL1009,12207.036732902705,12096.547295494602,12292.972961997897,12059.717483025233,0,94222.0,12207.036732902705,12178.391323204307,12235.682142601103,89052.0,12599.888065909296,11867.384017907423,14915.0
AL,2010-06-30,AL1009,11961.504649773586,12022.887670555865,12063.809684410719,11961.504649773586,0,55440.0,12096.547295494602,12006.518865013924,12178.391323204307,85256.0,12542.597246512501,11810.093198510629,14615.0
AL,2010-07-01,AL1009,11961.504649773586,11953.320247002615,12051.533080254263,11932.859240075188,0,44442.0,12022.887670555865,11986.057858086499,12006.518865013924,86482.0,12366.632586936632,11642.312941705732,14615.0
AL,2010-07-02,AL1009,11957.4124483881,12092.455094109117,12112.916101036542,11957.4124483881,0,33868.0,11953.320247002615,12035.164274712322,11986.057858086499,84244.0,12342.079378623721,11625.94413616379,14610.0
AL,2010-07-05,AL1009,12071.994087181689,12121.100503807513,12174.299121818822,12055.625281639748,0,22866.0,12092.455094109117,12112.916101036542,12035.164274712322,81480.0,12395.27799663503,11670.958351404128,14750.0
AL,2010-07-06,AL1009,12084.270691338144,12121.100503807513,12149.74591350591,12043.348677483293,0,13684.0,12121.100503807513,12112.916101036542,12112.916101036542,79774.0,12473.02982295925,11748.71017772835,14765.0
AL,2010-07-07,AL1009,12194.76012874625,12129.284906578483,12227.49773983013,12112.916101036542,0,11302.0,12121.100503807513,12157.930316276881,12112.916101036542,79502.0,12473.02982295925,11748.71017772835,14900.0
AL,2010-07-08,AL1009,12223.405538444646,12190.667927360764,12235.682142601103,12162.022517662366,0,11788.0,12129.284906578483,12202.94453151722,12157.930316276881,77864.0,12522.136239585074,11789.632191583203,14935.0
AL,2010-07-09,AL1009,12194.76012874625,12182.483524589792,12211.12893428819,12121.100503807513,0,7956.0,12190.667927360764,12182.483524589792,12202.94453151722,76220.0,12567.150454825412,11834.64640682354,14900.0
AL,2010-07-12,AL1009,12178.391323204307,12125.192705192998,12215.221135673675,12031.072073326835,0,7308.0,12182.483524589792,12170.206920433337,12182.483524589792,75346.0,12546.689447897987,11814.185399896114,14880.0
