order_book_id,underlying_symbol,market_tplus,symbol,margin_rate,maturity_date,type,trading_code,exchange,product,contract_multiplier,round_lot,trading_hours,listed_date,industry_name,de_listed_date,underlying_order_book_id,start_delivery_date,end_delivery_date
AO88A2,AO,0.0,ao次主力连续,0.09,0000-00-00,Future,AO2509,SHFE,Commodity,20.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
AO99,AO,0.0,ao指数连续,0.09,0000-00-00,Future,,SHFE,Commodity,20.0,1.0,"21:01-01:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,unknown,0000-00-00,,0000-00-00,0000-00-00
AP88,AP,0.0,AP主力连续,0.1,0000-00-00,Future,AP2510,CZCE,Commodity,10.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,农产品,0000-00-00,,0000-00-00,0000-00-00
AP888,AP,0.0,AP主力连续价差平滑,0.1,0000-00-00,Future,AP2510,CZCE,Commodity,10.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,农产品,0000-00-00,,0000-00-00,0000-00-00
AP889,AP,0.0,AP主力连续价差平滑（后复权）,0.1,0000-00-00,Future,AP2510,CZCE,Commodity,10.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,农产品,0000-00-00,,0000-00-00,0000-00-00
AP88A2,AP,0.0,AP次主力连续,0.1,0000-00-00,Future,AP2511,CZCE,Commodity,10.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,农产品,0000-00-00,,0000-00-00,0000-00-00
AP99,AP,0.0,AP指数连续,0.1,0000-00-00,Future,AP205,CZCE,Commodity,10.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,农产品,0000-00-00,,0000-00-00,0000-00-00
AU1501,AU,0.0,黄金1501,0.04,2015-01-15,Future,au1501,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-10-16,贵金属,2015-01-15,null,2015-01-16,2015-01-22
AU1502,AU,0.0,黄金1502,0.04,2015-02-10,Future,au1502,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-02-18,贵金属,2015-02-10,null,2015-02-11,2015-02-17
AU1503,AU,0.0,黄金1503,0.04,2015-03-16,Future,au1503,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-12-16,贵金属,2015-03-16,null,2015-03-17,2015-03-23
AU1504,AU,0.0,黄金1504,0.04,2015-04-15,Future,au1504,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-04-16,贵金属,2015-04-15,null,2015-04-16,2015-04-22
AU1506,AU,0.0,黄金1506,0.04,2015-06-15,Future,au1506,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-07-16,贵金属,2015-06-15,null,2015-06-16,2015-06-23
AU1508,AU,0.0,黄金1508,0.04,2015-08-17,Future,au1508,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-09-16,贵金属,2015-08-17,null,2015-08-18,2015-08-24
AU1510,AU,0.0,黄金1510,0.04,2015-10-15,Future,au1510,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",2014-11-18,贵金属,2015-10-15,null,2015-10-16,2015-10-22
AU88,AU,0.0,au主力连续,0.13,0000-00-00,Future,AU2506,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AU888,AU,0.0,au主力连续价差平滑,0.13,0000-00-00,Future,AU2506,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AU889,AU,0.0,au主力连续价差平滑（后复权）,0.13,0000-00-00,Future,AU2506,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AU88A2,AU,0.0,au次主力连续,0.13,0000-00-00,Future,AU2508,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
AU99,AU,0.0,au指数连续,0.13,0000-00-00,Future,au2206,SHFE,Commodity,1000.0,1.0,"21:01-02:30,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,贵金属,0000-00-00,,0000-00-00,0000-00-00
B1501,B,0.0,豆二1501,0.05,2015-01-16,Future,b1501,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-01-16,油脂,2015-01-16,null,2015-01-19,2015-01-21
B1503,B,0.0,豆二1503,0.05,2015-03-13,Future,b1503,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-03-17,油脂,2015-03-13,null,2015-03-16,2015-03-18
B1505,B,0.0,豆二1505,0.05,2015-05-15,Future,b1505,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-05-19,油脂,2015-05-15,null,2015-05-18,2015-05-20
B1507,B,0.0,豆二1507,0.05,2015-07-14,Future,b1507,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-07-15,油脂,2015-07-14,null,2015-07-15,2015-07-17
B1509,B,0.0,豆二1509,0.05,2015-09-16,Future,b1509,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-09-16,油脂,2015-09-16,null,2015-09-17,2015-09-21
B1511,B,0.0,豆二1511,0.05,2015-11-13,Future,b1511,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",2014-11-17,油脂,2015-11-13,null,2015-11-16,2015-11-18
B88,B,0.0,豆二主力连续,0.06999999999999999,0000-00-00,Future,B2509,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,油脂,0000-00-00,,0000-00-00,0000-00-00
B888,B,0.0,豆二主力连续价差平滑,0.06999999999999999,0000-00-00,Future,B2509,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,油脂,0000-00-00,,0000-00-00,0000-00-00
B889,B,0.0,豆二主力连续价差平滑（后复权）,0.06999999999999999,0000-00-00,Future,B2509,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,油脂,0000-00-00,,0000-00-00,0000-00-00
B88A2,B,0.0,豆二次主力连续,0.06999999999999999,0000-00-00,Future,B2510,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,油脂,0000-00-00,,0000-00-00,0000-00-00
B99,B,0.0,豆二指数连续,0.06999999999999999,0000-00-00,Future,b2207,DCE,Commodity,10.0,1.0,"21:01-23:00,09:01-10:15,10:31-11:30,13:31-15:00",0000-00-00,油脂,0000-00-00,,0000-00-00,0000-00-00
BB1501,BB,0.0,胶合板1501,0.05,2015-01-16,Future,bb1501,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-01-16,建材,2015-01-16,null,2015-01-19,2015-01-21
BB1502,BB,0.0,胶合板1502,0.05,2015-02-13,Future,bb1502,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-02-21,建材,2015-02-13,null,2015-02-16,2015-02-25
BB1503,BB,0.0,胶合板1503,0.05,2015-03-13,Future,bb1503,DCE,Commodity,500.0,1.0,"09:01-10:15,10:31-11:30,13:31-15:00",2014-03-17,建材,2015-03-13,null,2015-03-16,2015-03-18
