date,FCT_Dbcd
2016-06-24,0.01135095752517223
2016-06-27,0.0087274980682231
2016-06-28,0.0067466301658975405
2016-06-29,0.005388368863741919
2016-06-30,0.004750891571499031
2016-07-01,0.004782213875437496
2016-07-04,0.0052812975621503895
2016-07-05,0.0057495827044846
2016-07-06,0.006138771623017082
2016-07-07,0.006252085865644158
2016-07-08,0.006196071345936781
2016-07-11,0.005366921146352172
2016-07-12,0.0038715054933669392
2016-07-13,0.002195205054202895
2016-07-14,0.0009284792203421155
2016-07-15,4.470232127656603e-05
2016-07-18,-0.0001295119608308725
2016-07-19,0.00019432645332998378
2016-07-20,-0.00016981590127776975
2016-07-21,-0.0013980898636103561
2016-07-22,-0.0032786133198525838
2016-07-25,-0.0057146080988626086
2016-07-26,-0.008504929166700308
2016-07-27,-0.010823117059530757
2016-07-28,-0.012393946542915493
2016-07-29,-0.01308209400650968
2016-08-01,-0.012499092423854335
2016-08-02,-0.010743295231897387
2016-08-03,-0.008371748308351272
2016-08-04,-0.006318333948626685
2016-08-05,-0.004820800543661536
2016-08-08,-0.0043014637592483276
2016-08-09,-0.004149213774058591
2016-08-10,-0.003979042039668071
2016-08-11,-0.003105661354167474
2016-08-12,-0.0012388265844356626
2016-08-15,0.0013094688648776886
2016-08-16,0.004054542939364405
2016-08-17,0.006731990767831533
2016-08-18,0.00914131409454479
2016-08-19,0.010773787862010439
2016-08-22,0.011176133001114957
2016-08-23,0.010119178598146327
2016-08-24,0.007567708109520392
2016-08-25,0.004110785460807516
2016-08-26,0.0007927235171191679
2016-08-29,-0.0017557231883518966
2016-08-30,-0.0032789047071271242
2016-08-31,-0.0036734446354095298
2016-09-01,-0.003766408744051339
2016-09-02,-0.003933161658283443
2016-09-05,-0.004150017917322181
2016-09-06,-0.004403858848364177
2016-09-07,-0.004693922303319985
2016-09-08,-0.004780731192871234
2016-09-09,-0.004731970493116384
2016-09-12,-0.0046389372163184025
2016-09-13,-0.004210044374290308
2016-09-14,-0.0029503933007916754
2016-09-19,-0.0005375002984590998
2016-09-20,0.0024868050690339135
2016-09-21,0.005594114746402649
2016-09-22,0.00830148283853894
2016-09-23,0.010426984357530023
2016-09-26,0.011406664081340206
2016-09-27,0.01168800672931218
2016-09-28,0.011638485165009446
2016-09-29,0.011318177916093424
2016-09-30,0.010475706128380577
2016-10-10,0.009889068374648343
2016-10-11,0.009687753665360373
2016-10-12,0.009951103882444263
2016-10-13,0.010441590281015206
2016-10-14,0.011255766560705585
2016-10-17,0.011507715280609352
2016-10-18,0.01100943227380628
2016-10-19,0.009714134941689542
2016-10-20,0.008133412913350435
2016-10-21,0.006579703767460714
2016-10-24,0.005414419994546782
2016-10-25,0.0050055057116211036
2016-10-26,0.005580080814913695
2016-10-27,0.006574463570364652
2016-10-28,0.007693884844459822
2016-10-31,0.00921526849848511
2016-11-01,0.010262548580758077
2016-11-02,0.00979355933694521
2016-11-03,0.00820293358286099
2016-11-04,0.005622742204018375
2016-11-07,0.002481327656584802
2016-11-08,-0.000659154738396185
2016-11-09,-0.002828279785936022
2016-11-10,-0.004099530477179317
2016-11-11,-0.004077539579139808
2016-11-14,-0.004093578646836065
2016-11-15,-0.004333300069080972
2016-11-16,-0.004802637498496064
2016-11-17,-0.0055283759803909475
2016-11-18,-0.006821053931850419
2016-11-21,-0.007663024932271818
2016-11-22,-0.008258136838446945
2016-11-23,-0.009033967949896417
2016-11-24,-0.009313952531713025
2016-11-25,-0.00893294175623307
2016-11-28,-0.008070107465211876
2016-11-29,-0.0067519764685330715
2016-11-30,-0.005036823548489004
2016-12-01,-0.003543830424426722
2016-12-02,-0.0022006150157027594
2016-12-05,-0.0012445265285240099
2016-12-06,8.963673556968838e-05
2016-12-07,0.0029203662033455936
2016-12-08,0.006507983449526239
2016-12-09,0.009880474874786323
2016-12-12,0.012656529278179762
2016-12-13,0.01400106462578729
2016-12-14,0.013495415432480434
2016-12-15,0.012352384361365269
2016-12-16,0.011434961640517615
2016-12-19,0.01058551286990315
2016-12-20,0.010272725588077432
2016-12-21,0.009935260877509532
2016-12-22,0.00954889224198705
2016-12-23,0.008644870792403354
2016-12-26,0.007577753416993236
2016-12-27,0.006160269190347031
2016-12-28,0.00447306485804972
2016-12-29,0.0010589903516906804
2016-12-30,-0.0040709410897172135
2017-01-03,-0.010089816164831244
2017-01-04,-0.01602349750296387
2017-01-05,-0.02141052763071326
2017-01-06,-0.0251288887040007
2017-01-09,-0.026883824578984934
2017-01-10,-0.027461340012649566
2017-01-11,-0.027384539084150776
2017-01-12,-0.026379650916074675
2017-01-13,-0.024633728942402257
2017-01-16,-0.022107595739656604
2017-01-17,-0.01901157892714216
2017-01-18,-0.015589124580602007
2017-01-19,-0.012862456475259543
2017-01-20,-0.010998157386777865
2017-01-23,-0.009568576339173454
2017-01-24,-0.00761926415184456
2017-01-25,-0.004613763723085203
2017-01-26,-0.00026978461006943455
2017-02-03,0.005012905233142389
2017-02-06,0.010457220062558824
2017-02-07,0.015212323022573868
2017-02-08,0.01832245320943956
2017-02-09,0.019951300312649464
2017-02-10,0.020155469891222237
2017-02-13,0.01945119311932596
2017-02-14,0.01792183642944669
2017-02-15,0.015758831870958053
2017-02-16,0.013081907595046533
2017-02-17,0.010746083603478116
2017-02-20,0.009217934819116116
2017-02-21,0.008107802080411295
2017-02-22,0.007422844918137059
2017-02-23,0.006153326068871251
2017-02-24,0.0038902890733032345
2017-02-27,0.0006563792656785821
2017-02-28,-0.0030060176662589136
2017-03-01,-0.006808612261953865
2017-03-02,-0.009533154805638136
2017-03-03,-0.011046278458527537
2017-03-06,-0.012160110115324536
2017-03-07,-0.013031912959708633
2017-03-08,-0.014392292841376792
2017-03-09,-0.016146257129224538
2017-03-10,-0.01809015376841239
2017-03-13,-0.01995640377813334
2017-03-14,-0.021862262934780486
2017-03-15,-0.02262218590880884
2017-03-16,-0.022371659598196193
2017-03-17,-0.021268831483261773
2017-03-20,-0.019434681456241172
2017-03-21,-0.01750972447333739
2017-03-22,-0.016201431590846905
2017-03-23,-0.015365931359290371
2017-03-24,-0.014834099528123174
2017-03-27,-0.014814627018014653
2017-03-28,-0.014376564226797766
2017-03-29,-0.013239269461212086
2017-03-30,-0.01141482266951036
2017-03-31,-0.008726939934660304
2017-04-05,-0.0050774257638063775
2017-04-06,-0.0009315839645271624
2017-04-07,0.003331581869861181
2017-04-10,0.006783179029015926
2017-04-11,0.008319434739042602
2017-04-12,0.008309430583242855
2017-04-13,0.0072209012004978545
2017-04-14,0.0057554784264758525
